key,summary,status,assignee,created,resolution_date
GTMS-22,Criar uma apresentação de slides,Em andamento,Unassigned,2025-03-14T12:25:05.093-0300,
GTMS-21,Criar perguntas frequentes,Tarefas pendentes,Unassigned,2025-03-14T12:25:05.070-0300,
GTMS-20,Criar uma página,Tarefas pendentes,Unassigned,2025-03-14T12:25:05.048-0300,
GTMS-19,Solicitar ilustração,Tarefas pendentes,Unassigned,2025-03-14T12:25:04.299-0300,
GTMS-18,Fazer rascunho do conteúdo do blog,Tarefas pendentes,Unassigned,2025-03-14T12:25:04.298-0300,
GTMS-17,Fazer rascunho do conteúdo do e-mail,Tarefas pendentes,Unassigned,2025-03-14T12:25:03.614-0300,
GTMS-16,Solicitar recursos criativos,Tarefas pendentes,Unassigned,2025-03-14T12:25:03.606-0300,
GTMS-15,Lançar campanha publicitária,Tarefas pendentes,Unassigned,2025-03-14T12:25:02.456-0300,
GTMS-14,Reunião inicial de produto e marketing,Pronto para o lançamento,Unassigned,2025-03-14T12:25:02.086-0300,
GTMS-13,Ilustrações para site e app móvel,Em andamento,Wagner da Silva Junior,2025-03-14T12:25:01.721-0300,
GTMS-12,Conduzir entrevistas com usuários para obter feedback,Lançado,Wagner da Silva Junior,2025-03-14T12:25:01.533-0300,2025-03-14T12:25:02.638-0300
GTMS-11,Organizar o webinar,Em andamento,Wagner da Silva Junior,2025-03-14T12:25:01.418-0300,
GTMS-10,Blitz com a equipe de desenvolvimento,Tarefas pendentes,Unassigned,2025-03-14T12:25:00.879-0300,
GTMS-9,Texto para e-mail de lançamento do recurso,Pronto para o lançamento,Unassigned,2025-03-14T12:25:00.462-0300,
GTMS-8,Nomear novos recursos,Lançado,Unassigned,2025-03-14T12:25:00.229-0300,2025-03-14T12:25:02.954-0300
GTMS-7,Blog de anúncio de atualizações mensais de recursos,Pronto para o lançamento,Unassigned,2025-03-14T12:25:00.227-0300,
GTMS-6,Criar posicionamento e mensagens para novo recurso,Pronto para o lançamento,Unassigned,2025-03-14T12:25:00.203-0300,
GTMS-5,Obter aprovações para posicionamento,Em andamento,Unassigned,2025-03-14T12:25:00.199-0300,
GTMS-4,Publicar documentos de suporte,Em andamento,Unassigned,2025-03-14T12:25:00.213-0300,
GTMS-3,Início de vendas,Tarefas pendentes,Unassigned,2025-03-14T12:25:00.200-0300,
GTMS-2,Atualizar a documentação para atualização do recurso,Tarefas pendentes,Unassigned,2025-03-14T12:25:00.192-0300,
GTMS-1,Criar guias de produtos,Lançado,Unassigned,2025-03-14T12:25:00.191-0300,2025-03-14T12:25:01.112-0300
